"document_uuid","document_pdf_link","document_html_link","ocr_task_id","ocr_status_response"
"f7810d70-9513-4159-9ecd-d61b07fd7585","http://localhost:15110/wf-vr-training/temp.bucket/wf-ocr/f7810d70-9513-4159-9ecd-d61b07fd7585.pdf","http://localhost:15110/wf-vr-training/temp.bucket/wf-ocr/f7810d70-9513-4159-9ecd-d61b07fd7585.html","5bc34e280b1cb122ed16c49e","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><response><task id=""5bc34e280b1cb122ed16c49e"" message=""OK"" processEndTime=""2018-10-14T14:09:49"" processStartTime=""2018-10-14T14:09:44"" registrationTime=""2018-10-14T14:09:50"" resultUrl=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e280b1cb122ed16c49e&amp;result=1"" resultUrl2=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e280b1cb122ed16c49e&amp;result=2"" resultUrl3=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e280b1cb122ed16c49e&amp;result=3"" statusChangeTime=""2018-10-14T14:09:50"" status=""Completed""/></response>"
"43d18cd1-9459-4ca7-a231-182df884f233","http://localhost:15110/wf-vr-training/temp.bucket/wf-ocr/43d18cd1-9459-4ca7-a231-182df884f233.pdf","http://localhost:15110/wf-vr-training/temp.bucket/wf-ocr/43d18cd1-9459-4ca7-a231-182df884f233.html","5bc34e360b1cb122ed16c4a1","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><response><task id=""5bc34e360b1cb122ed16c4a1"" message=""OK"" processEndTime=""2018-10-14T14:10:06"" processStartTime=""2018-10-14T14:09:58"" registrationTime=""2018-10-14T14:10:09"" resultUrl=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e360b1cb122ed16c4a1&amp;result=1"" resultUrl2=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e360b1cb122ed16c4a1&amp;result=2"" resultUrl3=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e360b1cb122ed16c4a1&amp;result=3"" statusChangeTime=""2018-10-14T14:10:09"" status=""Completed""/></response>"
"935fcf5c-7265-42fd-9e23-427f830b7448","http://localhost:15110/wf-vr-training/temp.bucket/wf-ocr/935fcf5c-7265-42fd-9e23-427f830b7448.pdf","http://localhost:15110/wf-vr-training/temp.bucket/wf-ocr/935fcf5c-7265-42fd-9e23-427f830b7448.html","5bc34e480b1cb122ed16c4a4","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><response><task id=""5bc34e480b1cb122ed16c4a4"" message=""OK"" processEndTime=""2018-10-14T14:10:23"" processStartTime=""2018-10-14T14:10:16"" registrationTime=""2018-10-14T14:10:27"" resultUrl=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e480b1cb122ed16c4a4&amp;result=1"" resultUrl2=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e480b1cb122ed16c4a4&amp;result=2"" resultUrl3=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e480b1cb122ed16c4a4&amp;result=3"" statusChangeTime=""2018-10-14T14:10:27"" status=""Completed""/></response>"
"5d6c7ffb-e314-42ac-9cbd-6b5115e7093b","http://localhost:15110/wf-vr-training/temp.bucket/wf-ocr/5d6c7ffb-e314-42ac-9cbd-6b5115e7093b.pdf","http://localhost:15110/wf-vr-training/temp.bucket/wf-ocr/5d6c7ffb-e314-42ac-9cbd-6b5115e7093b.html","5bc34e590b1cb122ed16c4a7","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><response><task id=""5bc34e590b1cb122ed16c4a7"" message=""OK"" processEndTime=""2018-10-14T14:10:40"" processStartTime=""2018-10-14T14:10:33"" registrationTime=""2018-10-14T14:10:44"" resultUrl=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e590b1cb122ed16c4a7&amp;result=1"" resultUrl2=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e590b1cb122ed16c4a7&amp;result=2"" resultUrl3=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e590b1cb122ed16c4a7&amp;result=3"" statusChangeTime=""2018-10-14T14:10:44"" status=""Completed""/></response>"
"16857e02-4ef0-434f-b57f-3ef5f4aea2b6","http://localhost:15110/wf-vr-training/temp.bucket/wf-ocr/16857e02-4ef0-434f-b57f-3ef5f4aea2b6.pdf","http://localhost:15110/wf-vr-training/temp.bucket/wf-ocr/16857e02-4ef0-434f-b57f-3ef5f4aea2b6.html","5bc34e6a0b1cb122ed16c4aa","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><response><task id=""5bc34e6a0b1cb122ed16c4aa"" message=""OK"" processEndTime=""2018-10-14T14:10:56"" processStartTime=""2018-10-14T14:10:50"" registrationTime=""2018-10-14T14:10:56"" resultUrl=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e6a0b1cb122ed16c4aa&amp;result=1"" resultUrl2=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e6a0b1cb122ed16c4aa&amp;result=2"" resultUrl3=""https://ocr2.workfusion.com/api/v1/cloud/download?taskId=5bc34e6a0b1cb122ed16c4aa&amp;result=3"" statusChangeTime=""2018-10-14T14:10:56"" status=""Completed""/></response>"
